Model Name,ntrees_default,ntrees_actual,max_depth_default,max_depth_actual,min_rows_default,min_rows_actual,min_sum_hessian_in_leaf_default,min_sum_hessian_in_leaf_actual,sample_rate_default,sample_rate_actual,col_sample_rate_default,col_sample_rate_actual,col_sample_rate_per_tree_default,col_sample_rate_per_tree_actual,booster_default,booster_actual,reg_lambda_default,reg_lambda_actual,reg_alpha_default,reg_alpha_actual
XGBoost_2_AutoML_20190421_220819,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190421_220819_model_13,50,182,6,10,1.0,15.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.5
XGBoost_grid_1_AutoML_20190421_220819_model_8,50,191,6,10,1.0,15.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,0.1,0.0,1.0
XGBoost_grid_1_AutoML_20190421_220819_model_5,50,166,6,5,1.0,20.0,100.0,100.0,1.0,0.6,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,0.01,0.0,0.01
XGBoost_1_AutoML_20190421_220819,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190421_220819_model_3,50,176,6,10,1.0,1.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,1.0,gbtree,gbtree,1.0,0.1,0.0,0.5
XGBoost_grid_1_AutoML_20190421_220819_model_11,50,162,6,10,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,0.001,0.0,0.01
XGBoost_grid_1_AutoML_20190421_220819_model_16,50,132,6,20,1.0,10.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,1.0,gbtree,gbtree,1.0,0.1,0.0,0.01
XGBoost_grid_1_AutoML_20190421_220819_model_10,50,196,6,15,1.0,5.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,10.0,0.0,1.0
XGBoost_grid_1_AutoML_20190421_220819_model_6,50,187,6,10,1.0,0.01,100.0,100.0,1.0,1.0,1.0,1.0,1.0,0.9,gbtree,gbtree,1.0,0.001,0.0,1.0
XGBoost_3_AutoML_20190421_220819,50,150,6,5,1.0,3.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.8,gbtree,gbtree,1.0,1.0,0.0,0.0
XGBoost_grid_1_AutoML_20190421_220819_model_7,50,163,6,20,1.0,0.01,100.0,100.0,1.0,1.0,1.0,0.6,1.0,0.8,gbtree,gbtree,1.0,0.01,0.0,0.01
XGBoost_grid_1_AutoML_20190421_220819_model_2,50,280,6,20,1.0,10.0,100.0,100.0,1.0,0.8,1.0,0.8,1.0,0.7,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190421_220819_model_4,50,162,6,20,1.0,5.0,100.0,100.0,1.0,0.8,1.0,1.0,1.0,0.8,gbtree,gbtree,1.0,0.001,0.0,0.001
XGBoost_grid_1_AutoML_20190421_220819_model_15,50,296,6,5,1.0,3.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.7,gbtree,gbtree,1.0,100.0,0.0,1.0
XGBoost_grid_1_AutoML_20190421_220819_model_1,50,159,6,20,1.0,1.0,100.0,100.0,1.0,1.0,1.0,0.6,1.0,1.0,gbtree,gbtree,1.0,0.001,0.0,0.001
XGBoost_grid_1_AutoML_20190421_220819_model_12,50,64,6,10,1.0,0.1,100.0,100.0,1.0,1.0,1.0,0.8,1.0,0.7,gbtree,dart,1.0,0.1,0.0,0.01
XGBoost_grid_1_AutoML_20190421_220819_model_14,50,78,6,20,1.0,0.01,100.0,100.0,1.0,0.8,1.0,0.6,1.0,0.9,gbtree,dart,1.0,0.001,0.0,0.1
XGBoost_grid_1_AutoML_20190421_220819_model_9,50,109,6,15,1.0,5.0,100.0,100.0,1.0,0.6,1.0,0.6,1.0,0.7,gbtree,dart,1.0,100.0,0.0,0.01
